time,RSI
2025-10-20 16:45,50.2829
2025-10-20 16:40,50.2881
2025-10-20 16:35,50.3707
2025-10-20 16:30,50.3478
2025-10-20 16:25,50.3275
2025-10-20 16:20,50.3097
2025-10-20 16:15,50.3251
2025-10-20 16:10,50.3405
2025-10-20 16:05,50.3454
2025-10-20 16:00,50.3154
2025-10-20 15:55,50.3307
2025-10-20 15:50,50.3206
2025-10-20 15:45,50.2377
2025-10-20 15:40,50.2605
2025-10-20 15:35,50.2349
2025-10-20 15:30,50.2607
2025-10-20 15:25,50.1103
2025-10-20 15:20,50.1305
2025-10-20 15:15,50.2896
2025-10-20 15:10,50.3478
2025-10-20 15:05,50.3029
2025-10-20 15:00,50.1879
2025-10-20 14:55,50.1879
2025-10-20 14:50,50.1729
2025-10-20 14:45,50.0680
2025-10-20 14:40,50.0380
2025-10-20 14:35,49.9781
2025-10-20 14:30,49.9431
2025-10-20 14:25,49.9780
2025-10-20 14:20,50.0312
2025-10-20 14:15,50.1125
2025-10-20 14:10,50.0081
2025-10-20 14:05,49.9733
2025-10-20 14:00,49.9136
2025-10-20 13:55,49.8788
2025-10-20 13:50,49.9332
2025-10-20 13:45,49.9976
2025-10-20 13:40,49.9562
2025-10-20 13:35,49.9134
2025-10-20 13:30,49.9238
2025-10-20 13:25,50.0317
2025-10-20 13:20,49.9232
2025-10-20 13:15,49.6801
2025-10-20 13:10,49.6702
2025-10-20 13:05,49.5557
2025-10-20 13:00,49.5009
2025-10-20 12:55,49.5155
2025-10-20 12:50,49.5399
2025-10-20 12:45,49.5349
2025-10-20 12:40,49.4715
2025-10-20 12:35,49.4948
2025-10-20 12:30,49.5190
2025-10-20 12:25,49.4251
2025-10-20 12:20,49.5493
2025-10-20 12:15,49.4125
2025-10-20 12:10,49.5045
2025-10-20 12:05,49.4823
2025-10-20 12:00,49.3859
2025-10-20 11:55,49.4352
2025-10-20 11:50,49.5042
2025-10-20 11:45,49.5179
2025-10-20 11:40,49.6177
2025-10-20 11:35,49.4850
2025-10-20 11:30,49.4036
