time,SlowD,SlowK
2025-09-12 19:10,70.0769,79.4872
2025-09-12 19:05,62.3761,64.1026
2025-09-12 19:00,64.9316,66.6410
2025-09-12 18:55,69.9449,56.3846
2025-09-12 18:50,81.7958,71.7692
2025-09-12 18:45,81.0826,81.6809
2025-09-12 18:40,72.4271,91.9373
2025-09-12 18:35,52.0194,69.6296
2025-09-12 18:30,41.1772,55.7143
2025-09-12 18:25,32.8978,30.7143
2025-09-12 18:20,33.5928,37.1032
2025-09-12 18:15,33.1909,30.8761
2025-09-12 18:10,37.4288,32.7991
2025-09-12 18:05,42.0513,35.8974
2025-09-12 18:00,52.4310,43.5897
2025-09-12 17:55,64.4762,46.6667
2025-09-12 17:50,82.1001,67.0366
2025-09-12 17:45,92.9524,79.7253
2025-09-12 17:40,99.6007,99.5384
2025-09-12 17:35,93.3019,99.5934
2025-09-12 17:30,80.2393,99.6703
2025-09-12 17:25,60.3709,80.6419
2025-09-12 17:20,46.4472,60.4057
2025-09-12 17:15,34.9943,40.0652
2025-09-12 17:10,34.1723,38.8707
2025-09-12 17:05,38.2840,26.0471
2025-09-12 17:00,55.7457,37.5990
2025-09-12 16:55,68.9713,51.2060
2025-09-12 16:50,76.1192,78.4322
2025-09-12 16:45,72.2618,77.2757
2025-09-12 16:40,66.5675,72.6499
2025-09-12 16:35,57.8047,66.8597
2025-09-12 16:30,46.5424,60.1931
2025-09-12 16:25,35.5848,46.3612
2025-09-12 16:20,33.1212,33.0729
2025-09-12 16:15,39.1248,27.3203
2025-09-12 16:10,54.0606,38.9705
2025-09-12 16:05,67.6744,51.0836
2025-09-12 16:00,81.5462,72.1277
2025-09-12 15:55,84.6749,79.8120
2025-09-12 15:50,79.9907,92.6989
2025-09-12 15:45,64.5068,81.5137
2025-09-12 15:40,46.0980,65.7594
2025-09-12 15:35,32.3994,46.2472
2025-09-12 15:30,25.4159,26.2873
2025-09-12 15:25,35.4969,24.6636
2025-09-12 15:20,53.8551,25.2968
2025-09-12 15:15,76.3458,56.5303
2025-09-12 15:10,85.9435,79.7382
2025-09-12 15:05,84.8554,92.7688
2025-09-12 15:00,73.2607,85.3234
2025-09-12 14:55,56.8545,76.4741
2025-09-12 14:50,38.2989,57.9847
2025-09-12 14:45,27.3525,36.1046
2025-09-12 14:40,30.5527,20.8075
2025-09-12 14:35,45.7528,25.1453
2025-09-12 14:30,65.8101,45.7053
2025-09-12 14:25,81.7140,66.4079
2025-09-12 14:20,88.6933,85.3170
2025-09-12 14:15,84.2044,93.4172
2025-09-12 14:10,69.5259,87.3456
2025-09-12 14:05,54.0586,71.8504
2025-09-12 14:00,43.5111,49.3817
2025-09-12 13:55,40.4295,40.9436
2025-09-12 13:50,36.5977,40.2081
2025-09-12 13:45,35.5170,40.1368
2025-09-12 13:40,34.4480,29.4482
2025-09-12 13:35,41.0111,36.9660
2025-09-12 13:30,45.8509,36.9297
2025-09-12 13:25,57.9332,49.1376
2025-09-12 13:20,66.3789,51.4854
2025-09-12 13:15,74.2831,73.1768
2025-09-12 13:10,71.3216,74.4744
2025-09-12 13:05,64.0238,75.1980
2025-09-12 13:00,49.1665,64.2922
2025-09-12 12:55,31.7613,52.5813
2025-09-12 12:50,21.2446,30.6259
2025-09-12 12:45,22.2243,12.0769
2025-09-12 12:40,34.7869,21.0310
2025-09-12 12:35,45.1054,33.5651
2025-09-12 12:30,54.2584,49.7648
2025-09-12 12:25,60.0048,51.9864
2025-09-12 12:20,61.5571,61.0242
2025-09-12 12:15,61.3848,67.0037
2025-09-12 12:10,52.2366,56.6433
2025-09-12 12:05,45.0661,60.5074
2025-09-12 12:00,28.6555,39.5592
2025-09-12 11:55,20.4524,35.1318
2025-09-12 11:50,13.1946,11.2754
2025-09-12 11:45,12.4170,14.9499
2025-09-12 11:40,9.2540,13.3586
2025-09-12 11:35,8.5320,8.9425
2025-09-12 11:30,9.6855,5.4609
2025-09-12 11:25,11.1790,11.1927
2025-09-12 11:20,16.7180,12.4028
2025-09-12 11:15,31.5096,9.9416
2025-09-12 11:10,57.4201,27.8097
2025-09-12 11:05,80.2235,56.7774
2025-09-12 11:00,92.3386,87.6731
2025-09-12 10:55,92.1883,96.2201
2025-09-12 10:50,87.9377,93.1225
2025-09-12 10:45,85.3960,87.2222
2025-09-12 10:40,79.7178,83.4685
2025-09-12 10:35,68.7706,85.4975
2025-09-12 10:30,49.9894,70.1874
2025-09-12 10:25,37.3407,50.6271
2025-09-12 10:20,31.4761,29.1536
2025-09-12 10:15,33.5072,32.2415
2025-09-12 10:10,30.5253,33.0330
2025-09-12 10:05,32.1418,35.2470
2025-09-12 10:00,38.1092,23.2957
2025-09-12 09:55,56.2709,37.8826
2025-09-12 09:50,71.1253,53.1492
2025-09-12 09:45,81.8010,77.7810
2025-09-12 09:40,82.0354,82.4457
2025-09-12 09:35,76.8920,85.1764
2025-09-12 09:30,70.0143,78.4840
2025-09-12 09:25,60.5024,67.0156
2025-09-12 09:20,49.1952,64.5432
2025-09-12 09:15,29.8699,49.9485
2025-09-12 09:10,14.4033,33.0937
2025-09-12 09:05,4.1674,6.5673
2025-09-12 09:00,7.8880,3.5489
2025-09-12 08:55,19.4157,2.3861
2025-09-12 08:50,36.6944,17.7291
2025-09-12 08:45,47.9699,38.1319
2025-09-12 08:40,52.7912,54.2222
2025-09-12 08:35,54.3108,51.5556
2025-09-12 08:30,59.1231,52.5957
2025-09-12 08:25,62.2212,58.7811
2025-09-12 08:20,62.7020,65.9924
2025-09-12 08:15,63.2279,61.8901
2025-09-12 08:10,69.3016,60.2236
2025-09-12 08:05,79.9801,67.5702
2025-09-12 08:00,89.2007,80.1112
2025-09-12 07:55,95.0073,92.2590
2025-09-12 07:50,93.9868,95.2320
2025-09-12 07:45,89.0947,97.5309
2025-09-12 07:40,76.5844,89.1975
2025-09-12 07:35,59.4444,80.5556
2025-09-12 07:30,37.9661,60.0000
2025-09-12 07:25,19.0804,37.7778
2025-09-12 07:20,7.6423,16.1205
2025-09-12 07:15,6.4513,3.3427
2025-09-12 07:10,11.4641,3.4635
2025-09-12 07:05,19.3919,12.5477
2025-09-12 07:00,22.5569,18.3810
2025-09-12 06:55,25.1663,27.2472
2025-09-12 06:50,30.2421,22.0425
2025-09-12 06:45,42.6421,26.2092
2025-09-12 06:40,56.8558,42.4747
2025-09-12 06:35,64.5347,59.2424
2025-09-12 06:30,64.1171,68.8503
2025-09-12 06:25,58.0013,65.5113
2025-09-12 06:20,51.6864,57.9897
2025-09-12 06:15,51.5643,50.5030
2025-09-12 06:10,59.8300,46.5664
2025-09-12 06:05,72.5079,57.6234
2025-09-12 06:00,84.3621,75.3002
2025-09-12 05:55,91.1757,84.6001
2025-09-12 05:50,94.3482,93.1860
2025-09-12 05:45,94.6587,95.7409
2025-09-12 05:40,90.9722,94.1176
2025-09-12 05:35,86.8464,94.1176
2025-09-12 05:30,81.2054,84.6814
2025-09-12 05:25,81.0710,81.7402
2025-09-12 05:20,81.5010,77.1947
2025-09-12 05:15,82.9671,84.2781
2025-09-12 05:10,80.4053,83.0303
2025-09-12 05:05,80.9531,81.5929
2025-09-12 05:00,80.5400,76.5929
2025-09-12 04:55,83.7633,84.6737
2025-09-12 04:50,82.8752,80.3535
2025-09-12 04:45,82.1291,86.2626
2025-09-12 04:40,72.4135,82.0096
2025-09-12 04:35,58.3083,78.1151
2025-09-12 04:30,39.9773,57.1159
2025-09-12 04:25,27.5650,39.6939
2025-09-12 04:20,20.1317,23.1222
2025-09-12 04:15,20.4232,19.8789
2025-09-12 04:10,28.5143,17.3940
2025-09-12 04:05,37.4903,23.9966
2025-09-12 04:00,51.6266,44.1522
2025-09-11 19:55,54.2704,44.3222
2025-09-11 19:50,62.6655,66.4056
2025-09-11 19:45,59.9495,52.0833
2025-09-11 19:40,65.4167,69.5076
2025-09-11 19:35,64.0657,58.2576
2025-09-11 19:30,64.5877,68.4848
2025-09-11 19:25,62.9371,65.4545
2025-09-11 19:20,63.8118,59.8236
2025-09-11 19:15,70.0277,63.5331
2025-09-11 19:10,75.4012,68.0786
2025-09-11 19:05,78.8107,78.4714
2025-09-11 19:00,76.4847,79.6537
2025-09-11 18:55,71.5954,78.3069
2025-09-11 18:50,62.9575,71.4937
2025-09-11 18:45,55.7708,64.9858
2025-09-11 18:40,50.1727,52.3932
2025-09-11 18:35,49.4957,49.9333
2025-09-11 18:30,50.9356,48.1916
2025-09-11 18:25,52.0552,50.3621
2025-09-11 18:20,49.5056,54.2531
2025-09-11 18:15,41.7977,51.5504
2025-09-11 18:10,32.0718,42.7132
2025-09-11 18:05,24.9526,31.1296
2025-09-11 18:00,24.3689,22.3726
2025-09-11 17:55,29.9057,21.3556
2025-09-11 17:50,40.2741,29.3785
2025-09-11 17:45,45.3207,38.9831
2025-09-11 17:40,52.4390,52.4607
2025-09-11 17:35,56.4761,44.5185
2025-09-11 17:30,64.8806,60.3377
2025-09-11 17:25,61.2243,64.5722
2025-09-11 17:20,52.7013,69.7319
2025-09-11 17:15,42.4513,49.3689
2025-09-11 17:10,38.9842,39.0032
2025-09-11 17:05,38.7210,38.9818
2025-09-11 17:00,44.9376,38.9677
2025-09-11 16:55,47.0898,38.2134
2025-09-11 16:50,45.6311,57.6318
2025-09-11 16:45,27.0627,45.4242
2025-09-11 16:40,12.5553,33.8374
2025-09-11 16:35,1.9453,1.9266
2025-09-11 16:30,3.9479,1.9018
